sgRNA	Gene	PlasmidLib	R1_Top	R1_Unsorted	R2_Top	R2_Unsorted	R3_Top	R3_Unsorted
AW822252_ENSMUST00000148826_53716731_53716749	ENSMUST00000148826_AW822252	292	1264	1236	1160	1002	1111	1155
Nxf7_ENSMUST00000141310_135597108_135597090	ENSMUST00000141310_Nxf7	373	1117	1208	1605	1150	1216	1365
Mid2_ENSMUST00000112988_140664860_140664878	ENSMUST00000112988_Mid2	252	704	675	700	614	704	923
Ctps2_ENSMUST00000123089_162900898_162900880	ENSMUST00000123089_Ctps2	443	1199	1271	1262	1085	1322	1492
Pcyt1b_ENSMUST00000146263_93731156_93731138	ENSMUST00000146263_Pcyt1b	384	1330	1238	1126	1009	1265	1397
Gpkow_ENSMUST00000154562_7703474_7703456	ENSMUST00000154562_Gpkow	114	459	340	518	445	336	445
Gm8522_ENSMUST00000118416_75273295_75273277	ENSMUST00000118416_Gm8522	437	1478	1646	1224	1337	1455	1922
Gja6_ENSMUST00000069417_160907114_160907132	ENSMUST00000069417_Gja6	206	574	637	654	661	635	738
Adgrg4_ENSMUST00000136396_56893966_56893948	ENSMUST00000136396_Adgrg4	509	1484	1537	1255	1195	1392	1687
Fundc2_ENSMUST00000033541_75382202_75382220	ENSMUST00000033541_Fundc2	291	999	1034	1049	847	1170	1230
Rnf128_ENSMUST00000113027_139562833_139562851	ENSMUST00000113027_Rnf128	169	496	511	477	441	465	458
Stk26_ENSMUST00000114887_50841322_50841304	ENSMUST00000114887_Stk26	427	1488	1507	1289	1209	1619	1548
Awat2_ENSMUST00000033567_100412667_100412685	ENSMUST00000033567_Awat2	373	1287	1293	1467	1176	1495	1399
Tceanc_ENSMUST00000112188_166510561_166510579	ENSMUST00000112188_Tceanc	378	1362	1363	1529	1548	1510	1680
Tex11_ENSMUST00000113718_101059875_101059893	ENSMUST00000113718_Tex11	461	1326	1387	1479	1384	1395	1814
Tfe3_ENSMUST00000144900_7763676_7763658	ENSMUST00000144900_Tfe3	174	533	604	730	565	650	563
Prdx4_ENSMUST00000130349_155341182_155341164	ENSMUST00000130349_Prdx4	538	1219	1534	1585	1211	1382	1553
Cldn2_ENSMUST00000054889_139800482_139800500	ENSMUST00000054889_Cldn2	410	1140	1238	1275	1080	1136	1411
Gm15201_ENSMUST00000136472_162736985_162737003	ENSMUST00000136472_Gm15201	260	544	777	674	783	828	942
Gpkow_ENSMUST00000129845_7705450_7705432	ENSMUST00000129845_Gpkow	399	908	1046	1292	901	825	1089
Armcx6_ENSMUST00000052431_134751531_134751549	ENSMUST00000052431_Armcx6	506	1600	1957	1615	1567	1557	1915
Mtmr1_ENSMUST00000138565_71391385_71391403	ENSMUST00000138565_Mtmr1	438	1221	1230	1366	1364	1296	1356
Phf8_ENSMUST00000112670_151520684_151520702	ENSMUST00000112670_Phf8	749	3008	3275	2660	2489	3089	3353
Atp11c_ENSMUST00000033480_60404413_60404431	ENSMUST00000033480_Atp11c	183	645	539	652	601	556	622
Gm6645_ENSMUST00000118505_154974835_154974853	ENSMUST00000118505_Gm6645	322	1281	1155	1332	964	1325	1171
Dkc1_ENSMUST00000154936_75100179_75100161	ENSMUST00000154936_Dkc1	388	1149	1139	1095	992	1299	1256
Asb11_ENSMUST00000033755_164437878_164437896	ENSMUST00000033755_Asb11	206	513	594	709	482	654	638
Nanog_ENSMUST00000112581_122707485_122707503	ENSMUST00000112581_Nanog	356	1114	1927	1411	1843	1149	1986
Taf9b_ENSMUST00000113495_106221340_106221322	ENSMUST00000113495_Taf9b	226	722	841	921	887	707	844
Dkc1_ENSMUST00000131155_75095927_75095945	ENSMUST00000131155_Dkc1	238	707	909	461	469	742	987
negative_control_92_92_92	NA_negative_control	787	1590	2544	1615	1997	1457	2665
Arhgap4_ENSMUST00000149135_73911314_73911332	ENSMUST00000149135_Arhgap4	308	928	995	1099	922	1004	1057
Trmt2b_ENSMUST00000128115_134277011_134277029	ENSMUST00000128115_Trmt2b	503	1732	1922	1381	1316	1809	1948
Abcb7_ENSMUST00000033695_104413993_104414011	ENSMUST00000033695_Abcb7	349	967	1304	1221	1323	931	1512
Rpl36a_ENSMUST00000169457_134586072_134586054	ENSMUST00000169457_Rpl36a	138	462	431	367	318	380	475
Slc25a53_ENSMUST00000113069_137038449_137038431	ENSMUST00000113069_Slc25a53	213	664	697	647	466	831	683
Gm15104_ENSMUST00000132626_150333422_150333440	ENSMUST00000132626_Gm15104	421	1256	1318	1364	1212	1388	1326
2010204K13Rik_ENSMUST00000154346_7421339_7421321	ENSMUST00000154346_2010204K13Rik	316	839	959	820	725	886	942
Otud5_ENSMUST00000152899_7841142_7841124	ENSMUST00000152899_Otud5	183	646	646	703	610	599	677
Gm648_ENSMUST00000081133_56549703_56549721	ENSMUST00000081133_Gm648	200	649	699	936	679	671	674
Chd8_ENSMUST00000200169_52237994_52238012	ENSMUST00000200169_Chd8	281	712	790	835	829	700	898
Gm14634_ENSMUST00000139163_12762220_12762202	ENSMUST00000139163_Gm14634	345	1415	1426	1605	1314	1369	1645
Klhl13_ENSMUST00000153345_23365328_23365346	ENSMUST00000153345_Klhl13	727	2150	2482	2513	2206	2033	2594
Tsix_ENSMUST00000211291_103447506_103447524	ENSMUST00000211291_Tsix	240	687	813	761	545	713	808
Stard8_ENSMUST00000036606_99042500_99042518	ENSMUST00000036606_Stard8	314	898	769	991	864	773	958
Itgb1bp2_ENSMUST00000033674_101448956_101448974	ENSMUST00000033674_Itgb1bp2	248	797	738	806	567	625	724
Atp2b3_ENSMUST00000033744_73502882_73502900	ENSMUST00000033744_Atp2b3	175	620	562	742	578	617	624
Trmt2b_ENSMUST00000128115_134277094_134277112	ENSMUST00000128115_Trmt2b	209	677	690	804	702	682	895
Sytl5_ENSMUST00000067529_9885187_9885205	ENSMUST00000067529_Sytl5	437	1277	1458	1100	1120	1260	1458
Nxf2_ENSMUST00000143059_134956422_134956404	ENSMUST00000143059_Nxf2	558	1635	1735	1819	1584	1732	2076
Brcc3_ENSMUST00000033544_75416596_75416614	ENSMUST00000033544_Brcc3	320	983	1167	920	783	1065	1264
Sat1_ENSMUST00000138944_155215221_155215203	ENSMUST00000138944_Sat1	322	927	1042	1069	927	1018	1240
Msl1_ENSMUST00000037915_98795378_98795396	ENSMUST00000037915_Msl1	702	2155	2469	2597	1972	2304	2512
Sh3kbp1_ENSMUST00000112451_159839989_159840007	ENSMUST00000112451_Sh3kbp1	405	1208	1170	1227	1069	1198	1174
Gm14634_ENSMUST00000139163_12762154_12762172	ENSMUST00000139163_Gm14634	81	187	178	238	177	233	247
Atp11c_ENSMUST00000033480_60404126_60404144	ENSMUST00000033480_Atp11c	103	314	343	181	174	266	248
Plac1_ENSMUST00000114843_53114489_53114507	ENSMUST00000114843_Plac1	203	691	618	798	498	801	773
F8_ENSMUST00000147349_75382739_75382757	ENSMUST00000147349_F8	540	1164	1419	1379	1130	1336	1534
Atrx_ENSMUST00000133543_105880684_105880666	ENSMUST00000133543_Atrx	105	247	330	242	209	294	393
Yipf6_ENSMUST00000140479_98938017_98938035	ENSMUST00000140479_Yipf6	402	1101	1192	1029	963	995	1268
Sat1_ENSMUST00000134855_155214299_155214281	ENSMUST00000134855_Sat1	184	626	562	516	501	583	694
Dkc1_ENSMUST00000137286_75105667_75105649	ENSMUST00000137286_Dkc1	651	2162	1977	2157	2065	1895	2156
F8_ENSMUST00000114085_75380142_75380160	ENSMUST00000114085_F8	193	615	562	532	566	577	748
BC065397_ENSMUST00000134672_136741395_136741413	ENSMUST00000134672_BC065397	262	744	835	845	774	702	773
Piga_ENSMUST00000112255_164419461_164419479	ENSMUST00000112255_Piga	130	446	414	240	278	335	480
Msl2_ENSMUST00000189616_101074592_101074610	ENSMUST00000189616_Msl2	354	1739	1713	1115	1089	1807	1943
Dkc1_ENSMUST00000154936_75100201_75100219	ENSMUST00000154936_Dkc1	591	1210	1149	1084	995	1471	1586
Gm45208_ENSMUST00000208156_7722067_7722049	ENSMUST00000208156_Gm45208	564	1786	1628	2027	1720	1693	1982
Lage3_ENSMUST00000114153_74353619_74353637	ENSMUST00000114153_Lage3	845	2714	3124	3058	2696	2854	3117
Usp11_ENSMUST00000033383_20703762_20703780	ENSMUST00000033383_Usp11	188	485	617	519	477	691	645
Idh3g_ENSMUST00000148419_73780781_73780763	ENSMUST00000148419_Idh3g	188	515	524	429	481	564	528
Sat1_ENSMUST00000138944_155214940_155214958	ENSMUST00000138944_Sat1	104	282	270	335	282	303	295
Adgrg2_ENSMUST00000112400_160390621_160390639	ENSMUST00000112400_Adgrg2	375	1342	1217	1127	792	1176	1153
Adgrg4_ENSMUST00000145035_56967985_56968003	ENSMUST00000145035_Adgrg4	469	1405	1604	1645	1472	1307	1609
Rps12-ps1_ENSMUST00000121980_103489470_103489452	ENSMUST00000121980_Rps12-ps1	341	1656	1433	1606	1148	1590	1648
negative_control_130_130_130	NA_negative_control	424	1617	1694	1629	1420	1661	1792
Mcts1_ENSMUST00000000365_38600274_38600292	ENSMUST00000000365_Mcts1	408	1329	1328	1378	1146	1362	1528
Dkc1_ENSMUST00000154422_75100766_75100748	ENSMUST00000154422_Dkc1	10	22	45	15	29	19	41
Sms_ENSMUST00000145477_157492222_157492240	ENSMUST00000145477_Sms	661	1876	1991	2209	2059	2020	2540
Esx1_ENSMUST00000074698_137120584_137120602	ENSMUST00000074698_Esx1	533	1623	1560	1877	1393	1929	1614
Wdr45_ENSMUST00000156000_7721951_7721969	ENSMUST00000156000_Wdr45	119	318	466	356	300	293	335
Timm17b_ENSMUST00000033498_7899256_7899274	ENSMUST00000033498_Timm17b	509	1716	2030	2041	1686	1830	2134
Magea2_ENSMUST00000112559_155032805_155032823	ENSMUST00000112559_Magea2	522	1333	1561	1527	1577	1354	1570
Ebp_ENSMUST00000140011_8187346_8187364	ENSMUST00000140011_Ebp	188	611	667	455	429	636	686
Mcts1_ENSMUST00000133128_38608657_38608639	ENSMUST00000133128_Mcts1	196	738	712	1007	673	695	758
L1cam_ENSMUST00000114430_73870205_73870187	ENSMUST00000114430_L1cam	107	343	220	415	317	306	394
Gm14656_ENSMUST00000120342_62207919_62207901	ENSMUST00000120342_Gm14656	208	540	590	600	481	606	595
Mid1_ENSMUST00000171433_169926874_169926856	ENSMUST00000171433_Mid1	261	698	809	693	554	826	966
Bcorl1_ENSMUST00000037596_48343604_48343622	ENSMUST00000037596_Bcorl1	354	1049	1009	949	922	1048	1287
Akap17b_ENSMUST00000051906_36645465_36645483	ENSMUST00000051906_Akap17b	377	1271	1309	1274	1094	1065	1429
Dmd_ENSMUST00000114000_82948655_82948673	ENSMUST00000114000_Dmd	328	831	840	896	757	920	1097
Tceal8_ENSMUST00000146583_136172309_136172327	ENSMUST00000146583_Tceal8	393	1214	1307	1107	968	1232	1536
Zmym3_ENSMUST00000117901_101420002_101420020	ENSMUST00000117901_Zmym3	193	885	847	780	819	786	993
Gnl3l_ENSMUST00000112691_151017396_151017414	ENSMUST00000112691_Gnl3l	542	2192	2074	2305	2106	2477	2583
Gm15138_ENSMUST00000151778_151169589_151169607	ENSMUST00000151778_Gm15138	637	2461	2068	1987	1592	2341	2134
Rpl10_ENSMUST00000008826_74270687_74270705	ENSMUST00000008826_Rpl10	425	1363	1452	1287	1131	1340	1598
Slc9a6_ENSMUST00000144068_56609638_56609656	ENSMUST00000144068_Slc9a6	166	529	521	528	490	542	659
Idh3g_ENSMUST00000148419_73780857_73780875	ENSMUST00000148419_Idh3g	454	1586	1549	1791	1279	1825	1829
Ophn1_ENSMUST00000140598_98890536_98890554	ENSMUST00000140598_Ophn1	521	1373	1626	1642	1426	1527	1908
5530601H04Rik_ENSMUST00000154334_105070266_105070248	ENSMUST00000154334_5530601H04Rik	203	545	666	681	677	678	770
Rbbp7_ENSMUST00000033720_162760307_162760325	ENSMUST00000033720_Rbbp7	476	705	841	854	662	903	946
