sgRNA	Gene	R1_Bottom	R1_Top	R1_Unsorted	R2_Bottom	R2_Top	R2_Unsorted	R3_Bottom	R3_Top	R3_Unsorted
Ccdc160_ENSMUST00000101588_52791031_52791049	ENSMUST00000101588_Ccdc160	818.9660166389526	579.8540958619678	822.6909178885204	726.7426916022793	632.1792371332554	809.1290520211113	643.7538418728842	579.3381552360721	691.1892218679254
Ccdc160_ENSMUST00000101588_52790914_52790932	ENSMUST00000101588_Ccdc160	332.7724711408937	332.65313920502365	336.81934050024125	424.84806895782793	408.6151086968292	345.22839552900746	316.1631294405289	378.91307915612293	363.31741149467877
Ppp1r2-ps7_ENSMUST00000140102_22461644_22461662	ENSMUST00000140102_Ppp1r2-ps7	543.4563408567192	582.9059595243992	669.767194328066	675.1461560957731	580.5152578727367	637.5936929926357	637.0877517943188	556.4039425503069	553.8375175223762
Ppp1r2-ps7_ENSMUST00000140102_22461623_22461641	ENSMUST00000140102_Ppp1r2-ps7	1821.6051504660606	1771.0982120976946	1657.9641674623945	1707.0768662258977	1802.6032036533684	1490.955133190901	1642.7150550750373	1576.4778372258693	1438.2052655021064
Ppp1r2-ps7_ENSMUST00000140102_22461582_22461600	ENSMUST00000140102_Ppp1r2-ps7	1456.4197762919632	1024.4089026894765	1199.1929967810315	1354.6835067027382	1227.7240162454157	1303.2371931220032	1393.2128264201622	1083.8908343229095	1317.6902216892374
Ppp1r2-ps7_ENSMUST00000140102_22461579_22461561	ENSMUST00000140102_Ppp1r2-ps7	969.1458006927975	800.6055674445064	839.1447362462908	837.6203530098778	799.3826609218429	763.817825107929	748.5066859646257	754.8347392662764	856.8974071106204
Ppp1r2-ps7_ENSMUST00000140102_22461393_22461375	ENSMUST00000140102_Ppp1r2-ps7	1205.759992835186	1033.5644936767708	1198.2251251129273	1454.5831818323566	1200.4830089989603	1329.1293227866788	1327.5042242171605	1186.5962215678587	1311.4872414929866
Ppp1r2-ps7_ENSMUST00000140102_22461339_22461321	ENSMUST00000140102_Ppp1r2-ps7	621.2473081364086	625.632050798439	756.8756444574387	647.701190400823	598.3628143445522	595.5189822875379	611.3756900627095	428.7700632556128	678.7832614754242
Mid1ip1_ENSMUST00000125623_10714890_10714872	ENSMUST00000125623_Mid1ip1	1458.5806364941768	1391.6498300687226	1464.3898338415663	1383.2262710254863	1561.1915187451268	1334.5235164668195	1420.8294853170758	1535.5951102642878	1504.6657676047914
Mid1ip1_ENSMUST00000125623_10714791_10714773	ENSMUST00000125623_Mid1ip1	635.292899450797	545.2663076877452	555.5583374917773	614.7672315668827	705.4481531754454	621.4111119522134	512.3366374668813	641.1608155194396	627.3871398493477
Mid1ip1_ENSMUST00000125623_10714742_10714724	ENSMUST00000125623_Mid1ip1	1565.5432165037498	1467.946421629508	1332.759286979403	1367.8570902363142	1449.4094545269138	1476.930229622535	1585.5771401159056	1520.6380150344407	1509.9826077730063
Mid1ip1_ENSMUST00000125623_10714720_10714702	ENSMUST00000125623_Mid1ip1	1005.8804241304285	976.596371978051	929.156801379976	1048.3976895470948	1028.5828598230528	1042.1582190031913	758.0296717911477	830.6173550975011	790.4369050079353
Mid1ip1_ENSMUST00000125623_10714661_10714679	ENSMUST00000125623_Mid1ip1	1144.1754770720986	1107.8265094626017	996.9078181472659	1365.661492980718	1236.1781219425914	1123.0711242053026	1164.6611665836351	1138.7335168323484	1160.8434367269003
Mid1ip1_ENSMUST00000125623_10714623_10714641	ENSMUST00000125623_Mid1ip1	775.7488125946807	802.6401432194607	798.4941261859168	854.0873324268479	824.7449780133702	790.7887935086328	918.9681322593688	765.8032757681642	864.8726673629426
Ube2dnl1_ENSMUST00000059509_114904911_114904929	ENSMUST00000059509_Ube2dnl1	1336.4920350691086	1224.8146165224723	1305.658880272487	1312.967158846414	1326.355249379133	1278.4239021933558	1482.7288931894684	1517.6465959884713	1509.9826077730063
Ube2dnl1_ENSMUST00000059509_114904900_114904918	ENSMUST00000059509_Ube2dnl1	422.44816953275784	391.65583667869754	436.5101223149679	351.2955608953616	353.1937491264547	319.33626586433195	491.3860686485329	454.6956949873475	464.33737469076016
Ube2dnl1_ENSMUST00000059509_114904895_114904913	ENSMUST00000059509_Ube2dnl1	239.85548244570907	280.77145694368966	306.8153187890129	199.79935025923692	284.6215584715845	262.1578128548401	304.73554644870256	280.196250639133	287.1093690835998
Ube2dnl1_ENSMUST00000059509_114904844_114904862	ENSMUST00000059509_Ube2dnl1	325.2094604331461	206.5094411578587	326.1727521510957	302.9924212722494	279.9248330842646	338.7553631128386	479.95848565670656	396.8615934319393	415.59967314879106
Ube2dnl1_ENSMUST00000059509_114904829_114904847	ENSMUST00000059509_Ube2dnl1	989.6739726138265	948.1123111286912	1080.144781604222	1224.0454699947754	1211.755149928528	1098.257833276655	974.201450053196	996.1425423078074	1097.9274947363585
Ube2dnl1_ENSMUST00000059509_114904697_114904715	ENSMUST00000059509_Ube2dnl1	845.9767691666225	1174.9675100360926	1000.7793048196825	916.6618542113341	801.2613510767709	983.9009272576714	941.8232982430214	1083.8908343229095	988.9322712879548
Ube2dnl2_ENSMUST00000062695_114907530_114907548	ENSMUST00000062695_Ube2dnl2	1221.9664443517881	1044.7546604390193	1071.4339365912847	1168.0577399770773	1265.2978193439747	1144.6478989258655	1223.7036787080713	1193.5761993417873	1093.4967945961794
Ube2dnl2_ENSMUST00000062695_114907284_114907302	ENSMUST00000062695_Ube2dnl2	1520.1651522572643	1639.868074613144	1527.3014922683356	1589.612413051511	1672.0342378858759	1547.0547474643647	1466.5398172843811	1496.7066626666856	1448.838945838536
Ube2dnl2_ENSMUST00000062695_114907276_114907294	ENSMUST00000062695_Ube2dnl2	1972.8653646210125	1860.6195461956827	1900.899956156534	2005.678092986955	1901.2344367870858	2028.216823732919	1834.1270701881288	1743.0001641181655	1772.2800560716037
Ube2dnl2_ENSMUST00000062695_114907273_114907291	ENSMUST00000062695_Ube2dnl2	557.5019321711076	644.9605206605046	542.0081341383193	447.90184014158604	394.5249325348696	373.27820266573934	664.7044106912325	622.2151615616334	572.446458111128
Ube2dnl2_ENSMUST00000062695_114907268_114907286	ENSMUST00000062695_Ube2dnl2	267.9466650744858	323.4975482177294	242.93578869413955	243.7112953711571	295.8936994011522	261.0789741188119	301.878650700746	282.1905300031126	282.6786689434208
Ube2dnl2_ENSMUST00000062695_114907203_114907221	ENSMUST00000062695_Ube2dnl2	1412.1221421465846	1113.9302367874645	1316.3054686216326	1221.8498727391795	1009.7959582737734	1074.5233810840357	1289.412280911073	1059.9594819551544	1186.5414975399387
Kcnd1_ENSMUST00000009875_7822189_7822207	ENSMUST00000009875_Kcnd1	563.9845127777484	389.6212609037433	487.80732072448734	703.6889204185212	506.30699675308267	535.1040130699616	611.3756900627095	397.8587331139291	498.89683578415645
Kcnd1_ENSMUST00000009875_7822183_7822201	ENSMUST00000009875_Kcnd1	1673.5862266144295	1831.1181974588458	1905.739314497055	1719.1526511316758	1753.7572596252417	1597.7601680576877	1487.4903861027294	1741.005884754186	1598.5966105765865
