sgRNA	Gene	PlasmidLib	R1_Top	R1_Unsorted	R2_Top	R2_Unsorted	R3_Top	R3_Unsorted
Kdm5c_ENSMUST00000155793_152271501_152271519	ENSMUST00000155793_Kdm5c	728.9364159113981	700.593571471495	581.9336256026339	928.9168474538336	881.0438263999433	796.9086613409605	693.4710043214953
Tex11_ENSMUST00000113718_101059735_101059753	ENSMUST00000113718_Tex11	464.82901884205097	471.774233500351	479.67957424674256	481.48046019858396	526.5465786531851	382.89646092629664	420.54172878476487
Elf4_ENSMUST00000114958_48454342_48454360	ENSMUST00000114958_Elf4	1846.1107055147365	2164.5072510783893	1972.7549907929292	1625.1991964615502	1678.8989653286474	2087.347524011301	2029.6712321604741
Gm9112_ENSMUST00000113610_102707703_102707721	ENSMUST00000113610_Gm9112	784.398969295961	825.1631724519248	1011.7331747977222	868.1238600550225	808.253724862609	807.2805745037496	755.7450080355098
Cdkl5_ENSMUST00000196297_160928586_160928604	ENSMUST00000196297_Cdkl5	279.95384089350796	261.5078148241646	238.5927864970799	170.2203647166711	277.9258422334585	182.37280644570788	221.4186798720517
Taz_ENSMUST00000069722_74282629_74282647	ENSMUST00000069722_Taz	628.5756050250462	729.7481589349999	660.91033193442	547.9474597546174	632.4230899802169	778.7578133060796	666.5624841981556
Gpm6b_ENSMUST00000060210_166238698_166238680	ENSMUST00000060210_Gpm6b	726.2953419407046	990.3725014117855	832.9964183626274	872.17672588161	717.5024294394389	865.1904229959886	966.4002798582258
negative_control_88_88_88	NA_negative_control	430.4950572230358	583.0917492700967	534.5476018035623	415.01346064255046	505.7494067853752	493.5302013293801	461.2889164001077
Amot_ENSMUST00000125271_145487324_145487306	ENSMUST00000125271_Amot	702.5256762044634	687.3414862608109	595.2349656164084	710.8726659834311	806.3630728746263	635.2796812208308	638.8851492141492
Gm15246_ENSMUST00000156210_169320336_169320354	ENSMUST00000156210_Gm15246	1391.8459825554594	1628.239536219376	1421.5807139721487	1433.093356281307	1352.7614974016299	1450.339190596672	1455.36653124234
Iqsec2_ENSMUST00000146835_152178714_152178732	ENSMUST00000146835_Iqsec2	826.6561528270565	621.0810602073909	660.91033193442	775.7185192088297	889.5517603458655	721.7122909107397	736.5246365188387
Prdm14_ENSMUST00000047577_13127381_13127399	ENSMUST00000047577_Prdm14	1346.9477250536704	597.2273068281597	1153.0599124440762	683.3131783626368	1041.7492453784737	793.4513569533641	1336.9690426996456
Sh3kbp1_ENSMUST00000112447_159840469_159840487	ENSMUST00000112447_Sh3kbp1	583.6773475232571	325.1178238354479	361.63018162449396	307.2072296553254	383.80235356049036	359.55965631002124	434.3803962767681
Magea8_ENSMUST00000070141_154995968_154995986	ENSMUST00000070141_Magea8	385.59679972124684	379.0096370255629	448.08889171402814	360.7050585662792	425.39669729611	274.85569881391046	352.8860210460824
Ddx3x_ENSMUST00000000804_13280539_13280557	ENSMUST00000000804_Ddx3x	1175.2779169585947	1205.9397541722456	1257.8079650525503	1130.7495656178864	1179.7668405012116	1369.0925374881576	1482.2750513656795
Capn6_ENSMUST00000087316_143827414_143827432	ENSMUST00000087316_Capn6	1798.571374042254	1584.0659188504294	1557.9194491133371	1798.6618538394912	1736.5638509621201	1765.8182159648397	1865.9136668384358
Slc25a14_ENSMUST00000177710_48623723_48623741	ENSMUST00000177710_Slc25a14	2136.6288422910184	1714.8198262625117	1923.7062994921357	1831.0847804521904	2106.1863146127403	1855.7081300423451	1966.6284135857927
Slc25a5_ENSMUST00000016463_36795384_36795402	ENSMUST00000016463_Slc25a5	451.6236489885836	355.15588364633163	310.9188228219787	376.91652187262883	371.5131156386027	383.76078702319575	286.76794302873367
Armcx2_ENSMUST00000141322_134808110_134808092	ENSMUST00000141322_Armcx2	618.0113091422724	524.782574343087	591.9096306129649	505.79765515810834	650.3842838660526	544.5254410464264	554.3155145407961
Kantr_ENSMUST00000195280_152327638_152327620	ENSMUST00000195280_Kantr	1090.7635498964037	1009.8088930541221	1258.639298803411	1089.4103341866949	1284.6980258342521	1057.9351426044855	1329.2808940929772
Rps6ka6_ENSMUST00000065976_111463259_111463277	ENSMUST00000065976_Rps6ka6	900.6062240064738	1228.0265628567188	1104.8425548941436	1031.0490662838363	1029.4600074565863	1180.669448364156	1110.168658802926
Alg13_ENSMUST00000197316_144317974_144317992	ENSMUST00000197316_Alg13	950.7866294496497	1044.2643146019004	1212.0846087552004	1138.0447241057439	1162.7509726093674	1067.4427296703755	1102.4805101962575
Ppp1r2-ps7_ENSMUST00000185057_22461623_22461641	ENSMUST00000185057_Ppp1r2-ps7	1265.0744319621729	1538.1253567867248	1424.0747152247313	1555.4899042442466	1306.4405236960533	1366.4995591974605	1247.7865188622914
Gm23628_ENSMUST00000082464_20615214_20615196	ENSMUST00000082464_Gm23628	171.66980809507564	113.96793281188255	130.5193988851622	136.98686493865435	204.19041470213278	127.05593624416615	210.65527182271586
Cybb_ENSMUST00000164685_9469359_9469377	ENSMUST00000164685_Cybb	586.3184214939506	621.9645325547698	606.0423043776002	439.3306556020749	508.5853847673493	552.3043759185182	562.0036631474646
